date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-10-17T00:00:00.000Z,212.380005,213.389999,212.169998,213.089996,58275700,182.1630066449,183.0293007375,181.9828790168,182.7719815587,58275700,0.0,1.0
2016-10-18T00:00:00.000Z,213.710007,214.309998,213.270004,214.240005,76869700,183.3037786453,183.8184041371,182.9263783839,183.7583695999,76869700,0.0,1.0
2016-10-19T00:00:00.000Z,214.279999,214.639999,213.600006,214.020004,66519200,183.7926733343,184.101453261,183.2094283655,183.569669898,66519200,0.0,1.0
2016-10-20T00:00:00.000Z,213.880005,214.529999,213.110001,213.869995,73639800,183.4495896731,184.007103839,182.7891402877,183.4410038757,73639800,0.0,1.0
2016-10-21T00:00:00.000Z,213.979996,214.080002,212.759995,213.880005,89089100,183.5353541555,183.6211315037,182.4889324348,183.4495896731,89089100,0.0,1.0
2016-10-24T00:00:00.000Z,214.889999,215.320007,214.479996,215.0,60146600,184.3158837658,184.6847110956,183.9642151649,184.4102340455,60146600,0.0,1.0
2016-10-25T00:00:00.000Z,214.169998,214.979996,213.979996,214.679993,66542300,183.6983230545,184.3930761743,183.5353541555,184.1357569955,66542300,0.0,1.0
2016-10-26T00:00:00.000Z,213.740005,214.419998,212.929993,213.210007,75705500,183.3295085904,183.9127535592,182.6347434625,182.8749176359,75705500,0.0,1.0
2016-10-27T00:00:00.000Z,213.169998,214.619995,213.080002,214.580002,77220200,182.8406010357,184.0842953898,182.7634094849,184.0499925131,77220200,0.0,1.0
2016-10-28T00:00:00.000Z,212.539993,213.929993,211.710007,213.139999,140623200,182.3002318752,183.4924654814,181.5883346077,182.8148702328,140623200,0.0,1.0
2016-10-31T00:00:00.000Z,212.550003,213.190002,212.360001,212.929993,61272500,182.3088176726,182.8577589069,182.1458487736,182.6347434625,61272500,0.0,1.0
2016-11-01T00:00:00.000Z,211.009995,212.990005,209.600006,212.929993,122781800,180.9879189019,182.6862170763,179.7785402903,182.6347434625,122781800,0.0,1.0
2016-11-02T00:00:00.000Z,209.740005,211.100006,209.229996,210.649994,103330800,179.8986205152,181.0651233185,179.4611745661,180.6791381174,103330800,0.0,1.0
2016-11-03T00:00:00.000Z,208.779999,210.240005,208.460007,209.990005,88939300,179.0752022308,180.3274815246,178.8007380465,180.1130510199,88939300,0.0,1.0
2016-11-04T00:00:00.000Z,208.550003,209.889999,208.380005,208.910004,109122100,178.8779295973,180.0272736717,178.7321185696,179.1867103818,109122100,0.0,1.0
2016-11-07T00:00:00.000Z,213.149994,213.190002,208.550003,208.550003,109794900,182.8234431644,182.8577589069,178.8779295973,178.8779295973,109794900,0.0,1.0
2016-11-08T00:00:00.000Z,214.110001,214.770004,212.380005,212.690002,102268300,183.6468623065,184.2129614121,182.1630066449,182.4288978975,102268300,0.0,1.0
2016-11-09T00:00:00.000Z,216.380005,217.100006,212.339996,212.369995,258429000,185.5938947201,186.2114554314,182.1286900446,182.1544208474,258429000,0.0,1.0
2016-11-10T00:00:00.000Z,216.919998,218.309998,215.220001,217.300003,172113300,186.0570586062,187.2492922124,184.5989337474,186.382997262,172113300,0.0,1.0
2016-11-11T00:00:00.000Z,216.419998,216.699997,215.320007,216.080002,93847200,185.6281975968,185.8683589044,184.6847110956,185.3365755413,93847200,0.0,1.0
2016-11-14T00:00:00.000Z,216.589996,217.270004,215.720001,217.029999,94580000,185.7740086246,186.3572664591,185.0277947568,186.151408886,94580000,0.0,1.0
2016-11-15T00:00:00.000Z,218.279999,218.279999,216.800003,217.039993,91652600,187.2235614095,187.2235614095,185.9541362526,186.1599809599,91652600,0.0,1.0
2016-11-16T00:00:00.000Z,217.869995,218.139999,217.419998,217.559998,65617700,186.8718919509,187.1034803269,186.4859196156,186.6060006983,65617700,0.0,1.0
2016-11-17T00:00:00.000Z,218.990005,219.059998,217.919998,218.050003,69797200,187.8325491892,187.8925837265,186.914780625,187.0262887761,69797200,0.0,1.0
2016-11-18T00:00:00.000Z,218.5,219.270004,218.289993,219.070007,86265800,187.4122611114,188.0727104968,187.2321334834,187.9011686662,86265800,0.0,1.0
2016-11-21T00:00:00.000Z,220.149994,220.179993,219.0,219.169998,72402600,188.8274972961,188.853228099,187.8411221208,187.9869331486,72402600,0.0,1.0
2016-11-22T00:00:00.000Z,220.580002,220.789993,219.729996,220.509995,67429000,189.196324626,189.3764385304,188.4672557637,189.1362780806,67429000,0.0,1.0
2016-11-23T00:00:00.000Z,220.699997,220.759995,219.75,219.979996,56620200,189.2992469796,189.3507085853,188.4844136349,188.6816862684,56620200,0.0,1.0
2016-11-25T00:00:00.000Z,221.520004,221.559998,221.009995,221.100006,37872300,190.0025850391,190.0368887735,189.56513909,189.6423435067,37872300,0.0,1.0
2016-11-28T00:00:00.000Z,220.479996,221.479996,220.360001,221.160004,76572500,189.1105472778,189.9682692966,189.0076249241,189.6938051123,76572500,0.0,1.0
2016-11-29T00:00:00.000Z,220.910004,221.440002,220.169998,220.520004,69886700,189.4793746076,189.9339655622,188.8446551674,189.1448630203,69886700,0.0,1.0
2016-11-30T00:00:00.000Z,220.380005,221.820007,220.309998,221.630005,113291800,189.0247827954,190.2599042179,188.96473625,190.0969353189,113291800,0.0,1.0
